,predicted_mean
2018-07-05,38592.17357343303
2018-07-06,37156.32953914759
2018-07-07,35579.30928929791
2018-07-08,37194.85190333994
2018-07-09,38981.31304170135
2018-07-10,38430.84722216012
2018-07-11,36528.13880318614
2018-07-12,37765.0149338464
2018-07-13,37869.7395277152
2018-07-14,37244.41824320542
2018-07-15,38355.86271204437
2018-07-16,40222.68691618219
2018-07-17,40062.71767504491
2018-07-18,37880.372997081126
2018-07-19,37960.15039153656
2018-07-20,37583.87490901735
2018-07-21,36942.17000000868
2018-07-22,37744.688091539996
2018-07-23,38829.05949506215
2018-07-24,38623.09289898054
2018-07-25,37408.18902657197
2018-07-26,37784.57932136922
2018-07-27,37698.19058086107
2018-07-28,37322.23183517039
2018-07-29,37886.08827720726
2018-07-30,38751.7929851543
2018-07-31,38642.70886114143
2018-08-01,37646.9692498615
2018-08-02,37785.86108278639
2018-08-03,37652.17696899757
